"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"467","When your rest day just happens to coincide with the arrival of tropical depression Harvey. https://t.co/Szxwd4wuix",FALSE,8,NA,2017-09-01 20:02:34,FALSE,NA,"903709688063287296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AHS_Distance",1,FALSE,FALSE,NA,NA
"468","LATEST CONFIRMED DETAILS
Tropical Depression Harvey

The latest death toll from Tropical Storm Harvey, in all areas… https://t.co/Rtemra3qHC",FALSE,0,NA,2017-09-01 20:01:58,TRUE,NA,"903709538771185665",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VWNControlDesk",0,FALSE,FALSE,NA,NA
"469","RT @NWSMemphis: Tropical Depression #Harvey dropped a large swath of 6"" rainfall yesterday. Henderson, TN was the hot spot w 10+ inches #ar…",FALSE,0,NA,2017-09-01 20:01:18,FALSE,NA,"903709370252447748",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bluffcitytaxi",15,TRUE,FALSE,NA,NA
"470","Tropical depression Harvey somehow brought this ship here https://t.co/kQ6wLeUvi6",FALSE,1,NA,2017-09-01 20:00:09,FALSE,NA,"903709080954470404",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","artiofab",0,FALSE,FALSE,NA,NA
"471","RT @washingtonpost: Flooding persists as Harvey downgraded to tropical depression https://t.co/nBHYPrwLjp https://t.co/RevULjIsof",FALSE,0,NA,2017-09-01 19:55:26,FALSE,NA,"903707891797942273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drrimer",47,TRUE,FALSE,NA,NA
"472","RT @BuzzFeedNews: Tropical Depression Harvey has killed at least 40 people, but that number is expected to rise
https://t.co/dSfPSPJc8L htt…",FALSE,0,NA,2017-09-01 19:54:29,FALSE,NA,"903707653343469568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BiTransian",30,TRUE,FALSE,NA,NA
"473","RT @Emily_Unglesbee: #Harvey drenched the Delta region as #harvest17 began, with the most crop damage expected among Louisiana farmers: htt…",FALSE,0,NA,2017-09-01 19:40:06,FALSE,NA,"903704035336835073",NA,"<a href=""https://www.fao.org/"" rel=""nofollow"">Agriculture Updates</a>","Agri_Updates",5,TRUE,FALSE,NA,NA
"474","RT @Emily_Unglesbee: #Harvey drenched the Delta region as #harvest17 began, with the most crop damage expected among Louisiana farmers: htt…",FALSE,0,NA,2017-09-01 19:39:20,FALSE,NA,"903703840687579136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AGrederDTN",5,TRUE,FALSE,NA,NA
"475","RT @VWNControlDesk: UPDATE
Tropical Depression Harvey

The death toll has unfortunately risen again to at least 40. It could still rise fur…",FALSE,0,NA,2017-09-01 19:39:17,FALSE,NA,"903703826955476992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LIVE_COVERAGE",1,TRUE,FALSE,NA,NA
"476","RT @NWSMemphis: Tropical Depression #Harvey dropped a large swath of 6"" rainfall yesterday. Henderson, TN was the hot spot w 10+ inches #ar…",FALSE,0,NA,2017-09-01 19:34:08,FALSE,NA,"903702532517744642",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MemphoNewsLady",15,TRUE,FALSE,NA,NA
"477","Nashville, TN Tropical Depression Harvey Flooding Closes I40 - 8/31/2017 https://t.co/LCH7OGXF2L https://t.co/Us6BUQQwCn",FALSE,0,NA,2017-09-01 19:33:02,FALSE,NA,"903702255441854464",NA,"<a href=""https://buzcast.com"" rel=""nofollow"">Buzcast.com</a>","OnWeather1",0,FALSE,FALSE,NA,NA
"478","MLGW <U+2714> @MLGW
MLGW President Jerry Collins updates on the restoration efforts from Tropical Depression Harvey... https://t.co/2DehrMp8x8",FALSE,0,NA,2017-09-01 19:26:56,FALSE,NA,"903700722218401794",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","GaleJonesCarson",0,FALSE,FALSE,NA,NA
"479","RT @MLGW: MLGW President Jerry Collins updates on the restoration efforts from Tropical Depression Harvey https://t.co/rh5TdOgALI",FALSE,0,NA,2017-09-01 19:24:09,FALSE,NA,"903700020150636544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GaleJonesCarson",9,TRUE,FALSE,NA,NA
"480","RT @NWSMemphis: Tropical Depression #Harvey dropped a large swath of 6"" rainfall yesterday. Henderson, TN was the hot spot w 10+ inches #ar…",FALSE,0,NA,2017-09-01 19:08:07,FALSE,NA,"903695985532076032",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","WTVAmatt",15,TRUE,FALSE,NA,NA
